timeStamp   , pid
22:39:36.193, 1
22:39:37.195, 2
22:39:38.197, 3
22:39:39.199, 4
22:39:40.200, 7
22:39:41.201, 8
22:39:42.203, 6
22:39:43.206, 10
22:39:44.208, 11
22:39:45.210, 9
22:39:46.211, 14
22:39:47.213, 13
22:39:48.215, 15
22:39:49.217, 16
22:39:50.219, 1
22:39:51.221, 5
22:39:52.223, 12
22:39:53.224, 2
22:39:54.225, 3
22:39:55.227, 4
22:39:56.228, 7
22:39:57.230, 8
22:39:58.231, 6
22:39:59.232, 10
22:40:00.233, 11
22:40:01.234, 9
22:40:02.235, 14
22:40:03.237, 13
22:40:04.238, 15
22:40:05.239, 16
22:40:06.240, 1
22:40:07.242, 5
22:40:08.243, 12
22:40:09.244, 2
22:40:10.246, 3
22:40:11.247, 4
22:40:12.248, 7
22:40:13.249, 8
22:40:14.250, 6
22:40:15.251, 10
22:40:16.252, 11
22:40:17.254, 9
22:40:18.255, 14
22:40:19.257, 13
22:40:20.258, 15
22:40:21.259, 16
22:40:22.260, 1
22:40:23.261, 5
22:40:24.262, 12
22:40:25.264, 2
22:40:26.265, 3
22:40:27.266, 4
22:40:28.268, 7
22:40:29.269, 8
22:40:30.270, 6
22:40:31.272, 10
22:40:32.273, 11
22:40:33.274, 9
22:40:34.275, 14
22:40:35.277, 13
22:40:36.278, 15
22:40:37.279, 16
22:40:38.280, 1
22:40:39.282, 5
22:40:40.283, 12
22:40:41.284, 2
22:40:42.286, 3
22:40:43.287, 4
22:40:44.288, 7
22:40:45.290, 8
22:40:46.291, 6
22:40:47.293, 10
22:40:48.294, 11
22:40:49.294, 9
22:40:50.295, 14
22:40:51.297, 13
22:40:52.298, 15
22:40:53.299, 16
22:40:54.301, 5
22:40:55.302, 12
