timeStamp   , pid
22:40:56.310, 2
22:40:57.312, 1
22:40:58.313, 3
22:40:59.315, 4
22:41:00.316, 5
22:41:01.318, 6
22:41:02.320, 7
22:41:03.321, 9
22:41:04.324, 10
22:41:05.326, 8
22:41:06.328, 11
22:41:07.330, 12
22:41:08.332, 13
22:41:09.333, 14
22:41:10.334, 17
22:41:11.336, 18
22:41:12.338, 19
22:41:13.340, 20
22:41:14.341, 21
22:41:15.343, 22
22:41:16.344, 23
22:41:17.346, 24
22:41:18.348, 25
22:41:19.350, 26
22:41:20.352, 27
22:41:21.353, 28
22:41:22.355, 29
22:41:23.357, 30
22:41:24.359, 31
22:41:25.361, 32
22:41:26.363, 2
22:41:27.364, 16
22:41:28.366, 15
22:41:29.368, 1
22:41:30.370, 3
22:41:31.371, 4
22:41:32.373, 5
22:41:33.375, 6
22:41:34.376, 7
22:41:35.377, 9
22:41:36.378, 10
22:41:37.379, 8
22:41:38.380, 11
22:41:39.381, 12
22:41:40.382, 13
22:41:41.383, 14
22:41:42.385, 17
22:41:43.386, 18
22:41:44.388, 19
22:41:45.390, 20
22:41:46.391, 21
22:41:47.393, 22
22:41:48.394, 23
22:41:49.396, 24
22:41:50.397, 25
22:41:51.399, 26
22:41:52.401, 27
22:41:53.402, 28
22:41:54.404, 29
22:41:55.405, 30
22:41:56.407, 31
22:41:57.409, 32
22:41:58.410, 2
22:41:59.412, 16
22:42:00.413, 15
22:42:01.415, 1
22:42:02.417, 3
22:42:03.418, 4
22:42:04.419, 5
22:42:05.421, 6
22:42:06.423, 7
22:42:07.424, 9
22:42:08.426, 10
22:42:09.427, 8
22:42:10.429, 11
22:42:11.430, 12
22:42:12.431, 13
22:42:13.433, 14
22:42:14.434, 17
22:42:15.436, 18
22:42:16.437, 19
22:42:17.438, 20
22:42:18.439, 21
22:42:19.441, 22
22:42:20.442, 23
22:42:21.444, 24
22:42:22.446, 25
22:42:23.447, 26
22:42:24.449, 27
22:42:25.451, 28
22:42:26.452, 29
22:42:27.453, 30
22:42:28.455, 31
22:42:29.456, 32
22:42:30.457, 2
22:42:31.458, 16
22:42:32.459, 15
22:42:33.461, 1
22:42:34.462, 3
22:42:35.464, 4
22:42:36.465, 5
22:42:37.467, 6
22:42:38.468, 7
22:42:39.470, 9
22:42:40.471, 10
22:42:41.472, 8
22:42:42.473, 11
22:42:43.475, 12
22:42:44.476, 13
22:42:45.477, 14
22:42:46.479, 17
22:42:47.480, 18
22:42:48.482, 19
22:42:49.483, 20
22:42:50.485, 21
22:42:51.486, 22
22:42:52.488, 23
22:42:53.489, 24
22:42:54.490, 25
22:42:55.492, 26
22:42:56.493, 27
22:42:57.494, 28
22:42:58.496, 29
22:42:59.497, 30
22:43:00.498, 31
22:43:01.500, 32
22:43:02.501, 2
22:43:03.501, 16
22:43:04.503, 15
22:43:05.504, 1
22:43:06.505, 3
22:43:07.507, 4
22:43:08.508, 5
22:43:09.510, 6
22:43:10.511, 7
22:43:11.513, 9
22:43:12.514, 10
22:43:13.516, 8
22:43:14.517, 11
22:43:15.519, 12
22:43:16.520, 13
22:43:17.522, 14
22:43:18.523, 17
22:43:19.524, 18
22:43:20.526, 19
22:43:21.528, 20
22:43:22.530, 21
22:43:23.531, 22
22:43:24.533, 23
22:43:25.535, 24
22:43:26.536, 25
22:43:27.538, 26
22:43:28.539, 27
22:43:29.540, 28
22:43:30.542, 29
22:43:31.544, 30
22:43:32.545, 31
22:43:33.547, 32
22:43:34.549, 16
22:43:35.551, 15
