timeStamp   , pid
22:43:36.565, 1
22:43:37.567, 2
22:43:38.569, 4
22:43:39.571, 3
22:43:40.573, 6
22:43:41.574, 5
22:43:42.576, 7
22:43:43.578, 8
22:43:44.579, 9
22:43:45.579, 11
22:43:46.581, 12
22:43:47.582, 15
22:43:48.583, 13
22:43:49.585, 17
22:43:50.587, 14
22:43:51.589, 16
22:43:52.591, 10
22:43:53.592, 20
22:43:54.593, 21
22:43:55.595, 22
22:43:56.596, 23
22:43:57.598, 24
22:43:58.599, 25
22:43:59.600, 26
22:44:00.602, 27
22:44:01.604, 28
22:44:02.606, 29
22:44:03.608, 30
22:44:04.610, 31
22:44:05.612, 32
22:44:06.614, 33
22:44:07.616, 34
22:44:08.618, 35
22:44:09.620, 36
22:44:10.622, 37
22:44:11.624, 38
22:44:12.626, 39
22:44:13.627, 40
22:44:14.629, 43
22:44:15.631, 44
22:44:16.633, 46
22:44:17.635, 45
22:44:18.637, 48
22:44:19.639, 49
22:44:20.641, 50
22:44:21.643, 51
22:44:22.645, 52
22:44:23.647, 53
22:44:24.649, 47
22:44:25.651, 54
22:44:26.653, 55
22:44:27.655, 56
22:44:28.657, 57
22:44:29.659, 58
22:44:30.661, 59
22:44:31.663, 60
22:44:32.665, 61
22:44:33.667, 62
22:44:34.669, 63
22:44:35.671, 64
22:44:36.672, 1
22:44:37.674, 18
22:44:38.676, 41
22:44:39.679, 42
22:44:40.681, 19
22:44:41.683, 2
22:44:42.684, 4
22:44:43.685, 3
22:44:44.687, 6
22:44:45.688, 5
22:44:46.689, 7
22:44:47.691, 8
22:44:48.692, 9
22:44:49.694, 11
22:44:50.695, 12
22:44:51.697, 15
22:44:52.699, 13
22:44:53.700, 17
22:44:54.702, 14
22:44:55.703, 16
22:44:56.705, 10
22:44:57.706, 20
22:44:58.708, 21
22:44:59.710, 22
22:45:00.711, 23
22:45:01.712, 24
22:45:02.714, 25
22:45:03.715, 26
22:45:04.716, 27
22:45:05.718, 28
22:45:06.719, 29
22:45:07.721, 30
22:45:08.722, 31
22:45:09.724, 32
22:45:10.725, 33
22:45:11.727, 34
22:45:12.729, 35
22:45:13.730, 36
22:45:14.732, 37
22:45:15.733, 38
22:45:16.735, 39
22:45:17.736, 40
22:45:18.737, 43
22:45:19.739, 44
22:45:20.740, 46
22:45:21.742, 45
22:45:22.743, 48
22:45:23.745, 49
22:45:24.746, 50
22:45:25.748, 51
22:45:26.749, 52
22:45:27.750, 53
22:45:28.752, 47
22:45:29.754, 54
22:45:30.755, 55
22:45:31.756, 56
22:45:32.757, 57
22:45:33.758, 58
22:45:34.760, 59
22:45:35.762, 60
22:45:36.763, 61
22:45:37.765, 62
22:45:38.766, 63
22:45:39.767, 64
22:45:40.769, 1
22:45:41.770, 18
22:45:42.771, 41
22:45:43.773, 42
22:45:44.774, 19
22:45:45.775, 2
22:45:46.777, 4
22:45:47.778, 3
22:45:48.779, 6
22:45:49.781, 5
22:45:50.782, 7
22:45:51.783, 8
22:45:52.785, 9
22:45:53.786, 11
22:45:54.787, 12
22:45:55.789, 15
22:45:56.790, 13
22:45:57.792, 17
22:45:58.810, 14
22:45:59.811, 16
22:46:00.813, 10
22:46:01.814, 20
22:46:02.816, 21
22:46:03.817, 22
22:46:04.819, 23
22:46:05.821, 24
22:46:06.822, 25
22:46:07.824, 26
22:46:08.825, 27
22:46:09.827, 28
22:46:10.828, 29
22:46:11.829, 30
22:46:12.831, 31
22:46:13.832, 32
22:46:14.833, 33
22:46:15.835, 34
22:46:16.836, 35
22:46:17.837, 36
22:46:18.839, 37
22:46:19.840, 38
22:46:20.841, 39
22:46:21.843, 40
22:46:22.844, 43
22:46:23.846, 44
22:46:24.848, 46
22:46:25.849, 45
22:46:26.851, 48
22:46:27.852, 49
22:46:28.855, 50
22:46:29.856, 51
22:46:30.858, 52
22:46:31.859, 53
22:46:32.861, 47
22:46:33.862, 54
22:46:34.864, 55
22:46:35.866, 56
22:46:36.867, 57
22:46:37.869, 58
22:46:38.870, 59
22:46:39.871, 60
22:46:40.872, 61
22:46:41.873, 62
22:46:42.875, 63
22:46:43.876, 64
22:46:44.878, 1
22:46:45.879, 18
22:46:46.881, 41
22:46:47.882, 42
22:46:48.884, 19
22:46:49.885, 2
22:46:50.887, 4
22:46:51.888, 3
22:46:52.889, 6
22:46:53.891, 5
22:46:54.892, 7
22:46:55.894, 8
22:46:56.896, 9
22:46:57.897, 11
22:46:58.899, 12
22:46:59.900, 15
22:47:00.902, 13
22:47:01.903, 17
22:47:02.905, 14
22:47:03.906, 16
22:47:04.908, 10
22:47:05.909, 20
22:47:06.911, 21
22:47:07.912, 22
22:47:08.914, 23
22:47:09.915, 24
22:47:10.917, 25
22:47:11.918, 26
22:47:12.920, 27
22:47:13.921, 28
22:47:14.922, 29
22:47:15.924, 30
22:47:16.925, 31
22:47:17.927, 32
22:47:18.928, 33
22:47:19.930, 34
22:47:20.931, 35
22:47:21.933, 36
22:47:22.935, 37
22:47:23.936, 38
22:47:24.938, 39
22:47:25.939, 40
22:47:26.940, 43
22:47:27.941, 44
22:47:28.943, 46
22:47:29.944, 45
22:47:30.946, 48
22:47:31.947, 49
22:47:32.949, 50
22:47:33.950, 51
22:47:34.952, 52
22:47:35.953, 53
22:47:36.955, 47
22:47:37.956, 54
22:47:38.958, 55
22:47:39.959, 56
22:47:40.960, 57
22:47:41.962, 58
22:47:42.964, 59
22:47:43.965, 60
22:47:44.967, 61
22:47:45.968, 62
22:47:46.970, 63
22:47:47.971, 64
22:47:48.973, 1
22:47:49.974, 18
22:47:50.976, 41
22:47:51.977, 42
22:47:52.979, 19
22:47:53.980, 2
22:47:54.982, 4
22:47:55.984, 3
22:47:56.985, 6
22:47:57.986, 5
22:47:58.988, 7
22:47:59.989, 8
22:48:00.990, 9
22:48:01.992, 11
22:48:02.993, 12
22:48:03.994, 15
22:48:04.996, 13
22:48:05.998, 17
22:48:06.999, 14
22:48:08.001, 16
22:48:09.002, 10
22:48:10.003, 20
22:48:11.005, 21
22:48:12.006, 22
