10000000,1,0.0115975
10000000,2,0.0118413
10000000,4,0.0094997
10000000,8,0.0086432
10000000,16,0.0128307
10000000,32,0.0077636
10000000,64,0.0117256
10000000,128,0.0133072
10000000,256,0.0165917
100000000,1,0.172881
100000000,2,0.16794
100000000,4,0.249314
100000000,8,0.38329
100000000,16,0.35434
100000000,32,0.343773
100000000,64,0.199664
100000000,128,0.155813
100000000,256,0.150635
1000000000,1,1.8541
1000000000,2,2.44881
1000000000,4,3.9223
1000000000,8,6.48884
1000000000,16,6.36478
1000000000,32,6.41289
1000000000,64,6.34382
1000000000,128,6.12949
1000000000,256,5.50426
